datetime,symbol,open,high,low,close
2023-11-03 00:00, USDJPY, 150.277, 150.288, 150.265, 150.286
2023-11-03 00:01, USDJPY, 150.287, 150.287, 150.269, 150.281
2023-11-03 00:02, USDJPY, 150.287, 150.348, 150.285, 150.348
2023-11-03 00:03, USDJPY, 150.344, 150.344, 150.321, 150.322
2023-11-03 00:04, USDJPY, 150.322, 150.329, 150.313, 150.314
2023-11-03 00:05, USDJPY, 150.312, 150.314, 150.309, 150.313
2023-11-03 00:06, USDJPY, 150.313, 150.354, 150.313, 150.346
2023-11-03 00:07, USDJPY, 150.346, 150.361, 150.343, 150.344
2023-11-03 00:08, USDJPY, 150.344, 150.346, 150.331, 150.338
2023-11-03 00:09, USDJPY, 150.338, 150.354, 150.337, 150.339
2023-11-03 00:10, USDJPY, 150.338, 150.34, 150.315, 150.319
2023-11-03 00:11, USDJPY, 150.319, 150.327, 150.312, 150.317
2023-11-03 00:12, USDJPY, 150.317, 150.337, 150.313, 150.335
2023-11-03 00:13, USDJPY, 150.334, 150.374, 150.328, 150.37
2023-11-03 00:14, USDJPY, 150.37, 150.389, 150.359, 150.377
2023-11-03 00:15, USDJPY, 150.378, 150.42, 150.375, 150.411
2023-11-03 00:16, USDJPY, 150.411, 150.443, 150.399, 150.443
2023-11-03 00:17, USDJPY, 150.443, 150.454, 150.419, 150.434
2023-11-03 00:18, USDJPY, 150.435, 150.444, 150.42, 150.431
2023-11-03 00:19, USDJPY, 150.431, 150.443, 150.426, 150.431
2023-11-03 00:20, USDJPY, 150.431, 150.434, 150.405, 150.42
2023-11-03 00:21, USDJPY, 150.42, 150.422, 150.408, 150.419
2023-11-03 00:22, USDJPY, 150.419, 150.42, 150.397, 150.406
2023-11-03 00:23, USDJPY, 150.406, 150.422, 150.405, 150.419
2023-11-03 00:24, USDJPY, 150.419, 150.432, 150.419, 150.421
2023-11-03 00:25, USDJPY, 150.421, 150.434, 150.419, 150.421
2023-11-03 00:26, USDJPY, 150.419, 150.421, 150.405, 150.405
2023-11-03 00:27, USDJPY, 150.408, 150.411, 150.404, 150.409
2023-11-03 00:28, USDJPY, 150.409, 150.422, 150.408, 150.421
2023-11-03 00:29, USDJPY, 150.421, 150.464, 150.421, 150.456
2023-11-03 00:30, USDJPY, 150.455, 150.479, 150.455, 150.477
2023-11-03 00:31, USDJPY, 150.478, 150.484, 150.477, 150.482
2023-11-03 00:32, USDJPY, 150.482, 150.483, 150.467, 150.469
2023-11-03 00:33, USDJPY, 150.469, 150.47, 150.456, 150.467
2023-11-03 00:34, USDJPY, 150.465, 150.467, 150.438, 150.443
2023-11-03 00:35, USDJPY, 150.443, 150.443, 150.42, 150.43
2023-11-03 00:36, USDJPY, 150.43, 150.43, 150.399, 150.399
2023-11-03 00:37, USDJPY, 150.399, 150.414, 150.398, 150.408
2023-11-03 00:38, USDJPY, 150.411, 150.414, 150.399, 150.401
2023-11-03 00:39, USDJPY, 150.401, 150.403, 150.397, 150.398
2023-11-03 00:40, USDJPY, 150.398, 150.439, 150.396, 150.424
2023-11-03 00:41, USDJPY, 150.425, 150.436, 150.411, 150.411
2023-11-03 00:42, USDJPY, 150.411, 150.42, 150.4, 150.405
2023-11-03 00:43, USDJPY, 150.405, 150.41, 150.389, 150.391
2023-11-03 00:44, USDJPY, 150.397, 150.4, 150.386, 150.387
2023-11-03 00:45, USDJPY, 150.387, 150.407, 150.386, 150.401
2023-11-03 00:46, USDJPY, 150.402, 150.418, 150.396, 150.417
2023-11-03 00:47, USDJPY, 150.417, 150.423, 150.412, 150.42
2023-11-03 00:48, USDJPY, 150.421, 150.439, 150.415, 150.426
2023-11-03 00:49, USDJPY, 150.427, 150.453, 150.42, 150.448
2023-11-03 00:50, USDJPY, 150.447, 150.465, 150.443, 150.455
2023-11-03 00:51, USDJPY, 150.454, 150.457, 150.451, 150.455
2023-11-03 00:52, USDJPY, 150.456, 150.476, 150.454, 150.474
2023-11-03 00:53, USDJPY, 150.474, 150.477, 150.469, 150.473
2023-11-03 00:54, USDJPY, 150.473, 150.481, 150.473, 150.476
2023-11-03 00:55, USDJPY, 150.471, 150.479, 150.468, 150.477
2023-11-03 00:56, USDJPY, 150.476, 150.481, 150.464, 150.472
2023-11-03 00:57, USDJPY, 150.472, 150.477, 150.467, 150.467
2023-11-03 00:58, USDJPY, 150.467, 150.474, 150.463, 150.464
2023-11-03 00:59, USDJPY, 150.464, 150.476, 150.464, 150.473
2023-11-03 01:00, USDJPY, 150.473, 150.475, 150.451, 150.462
2023-11-03 01:01, USDJPY, 150.462, 150.474, 150.462, 150.468
