datetime,symbol,open,high,low,close
2023-11-10 00:00, USDJPY, 150.845, 150.872, 150.845, 150.87
2023-11-10 00:01, USDJPY, 150.869, 150.889, 150.867, 150.887
2023-11-10 00:02, USDJPY, 150.887, 150.92, 150.887, 150.897
2023-11-10 00:03, USDJPY, 150.897, 150.902, 150.897, 150.9
2023-11-10 00:04, USDJPY, 150.899, 150.909, 150.892, 150.902
2023-11-10 00:05, USDJPY, 150.902, 150.902, 150.876, 150.882
2023-11-10 00:06, USDJPY, 150.884, 150.899, 150.879, 150.899
2023-11-10 00:07, USDJPY, 150.894, 150.909, 150.89, 150.9
2023-11-10 00:08, USDJPY, 150.899, 150.91, 150.899, 150.901
2023-11-10 00:09, USDJPY, 150.901, 150.911, 150.888, 150.889
2023-11-10 00:10, USDJPY, 150.889, 150.892, 150.867, 150.873
2023-11-10 00:11, USDJPY, 150.873, 150.873, 150.857, 150.869
2023-11-10 00:12, USDJPY, 150.869, 150.87, 150.844, 150.856
2023-11-10 00:13, USDJPY, 150.856, 150.873, 150.853, 150.873
2023-11-10 00:14, USDJPY, 150.872, 150.873, 150.855, 150.855
2023-11-10 00:15, USDJPY, 150.855, 150.864, 150.848, 150.864
2023-11-10 00:16, USDJPY, 150.867, 150.867, 150.853, 150.853
2023-11-10 00:17, USDJPY, 150.859, 150.86, 150.834, 150.857
2023-11-10 00:18, USDJPY, 150.856, 150.89, 150.856, 150.89
2023-11-10 00:19, USDJPY, 150.89, 150.899, 150.888, 150.89
2023-11-10 00:20, USDJPY, 150.89, 150.897, 150.876, 150.877
2023-11-10 00:21, USDJPY, 150.877, 150.881, 150.868, 150.879
2023-11-10 00:22, USDJPY, 150.879, 150.886, 150.875, 150.883
2023-11-10 00:23, USDJPY, 150.883, 150.901, 150.883, 150.901
2023-11-10 00:24, USDJPY, 150.901, 150.902, 150.887, 150.888
2023-11-10 00:25, USDJPY, 150.888, 150.925, 150.885, 150.925
2023-11-10 00:26, USDJPY, 150.925, 150.925, 150.915, 150.921
2023-11-10 00:27, USDJPY, 150.922, 150.929, 150.911, 150.929
2023-11-10 00:28, USDJPY, 150.928, 150.947, 150.926, 150.946
2023-11-10 00:29, USDJPY, 150.946, 150.946, 150.942, 150.942
2023-11-10 00:30, USDJPY, 150.942, 150.946, 150.934, 150.944
2023-11-10 00:31, USDJPY, 150.944, 150.955, 150.944, 150.955
2023-11-10 00:32, USDJPY, 150.954, 150.964, 150.953, 150.958
2023-11-10 00:33, USDJPY, 150.957, 150.961, 150.951, 150.951
2023-11-10 00:34, USDJPY, 150.95, 150.95, 150.937, 150.943
2023-11-10 00:35, USDJPY, 150.944, 150.958, 150.944, 150.947
2023-11-10 00:36, USDJPY, 150.947, 150.95, 150.933, 150.938
2023-11-10 00:37, USDJPY, 150.937, 150.937, 150.923, 150.925
2023-11-10 00:38, USDJPY, 150.925, 150.925, 150.891, 150.899
2023-11-10 00:39, USDJPY, 150.901, 150.914, 150.899, 150.913
2023-11-10 00:40, USDJPY, 150.913, 150.927, 150.913, 150.917
2023-11-10 00:41, USDJPY, 150.917, 150.931, 150.915, 150.917
2023-11-10 00:42, USDJPY, 150.916, 150.929, 150.916, 150.927
2023-11-10 00:43, USDJPY, 150.927, 150.927, 150.914, 150.914
2023-11-10 00:44, USDJPY, 150.914, 150.915, 150.884, 150.887
2023-11-10 00:45, USDJPY, 150.888, 150.892, 150.88, 150.886
2023-11-10 00:46, USDJPY, 150.886, 150.907, 150.886, 150.902
2023-11-10 00:47, USDJPY, 150.901, 150.903, 150.891, 150.902
2023-11-10 00:48, USDJPY, 150.904, 150.937, 150.904, 150.923
2023-11-10 00:49, USDJPY, 150.925, 150.941, 150.925, 150.935
2023-11-10 00:50, USDJPY, 150.935, 150.935, 150.913, 150.921
2023-11-10 00:51, USDJPY, 150.921, 150.925, 150.902, 150.913
2023-11-10 00:52, USDJPY, 150.913, 150.936, 150.913, 150.927
2023-11-10 00:53, USDJPY, 150.927, 150.927, 150.903, 150.904
2023-11-10 00:54, USDJPY, 150.904, 150.914, 150.9, 150.901
2023-11-10 00:55, USDJPY, 150.901, 150.91, 150.898, 150.91
2023-11-10 00:56, USDJPY, 150.91, 150.923, 150.901, 150.902
2023-11-10 00:57, USDJPY, 150.9, 150.924, 150.9, 150.92
2023-11-10 00:58, USDJPY, 150.92, 150.937, 150.915, 150.937
2023-11-10 00:59, USDJPY, 150.937, 150.939, 150.922, 150.939
2023-11-10 01:00, USDJPY, 150.941, 150.941, 150.925, 150.94
2023-11-10 01:01, USDJPY, 150.939, 150.948, 150.929, 150.929
2023-11-10 01:02, USDJPY, 150.927, 150.948, 150.926, 150.948
2023-11-10 01:03, USDJPY, 150.948, 150.963, 150.948, 150.963
2023-11-10 01:04, USDJPY, 150.963, 150.97, 150.958, 150.96
2023-11-10 01:05, USDJPY, 150.96, 150.961, 150.953, 150.959
2023-11-10 01:06, USDJPY, 150.959, 150.962, 150.946, 150.958
2023-11-10 01:07, USDJPY, 150.958, 150.972, 150.95, 150.972
