datetime,symbol,open,high,low,close
2023-11-04 00:00, USDJPY, 149.47, 149.47, 149.439, 149.443
2023-11-04 00:01, USDJPY, 149.443, 149.457, 149.441, 149.445
2023-11-04 00:02, USDJPY, 149.446, 149.457, 149.442, 149.453
2023-11-04 00:03, USDJPY, 149.453, 149.466, 149.446, 149.457
2023-11-04 00:04, USDJPY, 149.457, 149.457, 149.444, 149.455
2023-11-04 00:05, USDJPY, 149.455, 149.46, 149.445, 149.446
2023-11-04 00:06, USDJPY, 149.446, 149.457, 149.444, 149.445
2023-11-04 00:07, USDJPY, 149.445, 149.447, 149.399, 149.422
2023-11-04 00:08, USDJPY, 149.42, 149.456, 149.42, 149.448
2023-11-04 00:09, USDJPY, 149.447, 149.479, 149.446, 149.458
2023-11-04 00:10, USDJPY, 149.457, 149.505, 149.457, 149.503
2023-11-04 00:11, USDJPY, 149.502, 149.502, 149.477, 149.48
2023-11-04 00:12, USDJPY, 149.48, 149.48, 149.435, 149.437
2023-11-04 00:13, USDJPY, 149.432, 149.459, 149.431, 149.456
2023-11-04 00:14, USDJPY, 149.456, 149.457, 149.424, 149.426
2023-11-04 00:15, USDJPY, 149.426, 149.448, 149.415, 149.448
2023-11-04 00:16, USDJPY, 149.448, 149.448, 149.423, 149.427
2023-11-04 00:17, USDJPY, 149.427, 149.446, 149.425, 149.425
2023-11-04 00:18, USDJPY, 149.425, 149.437, 149.403, 149.414
2023-11-04 00:19, USDJPY, 149.413, 149.436, 149.412, 149.42
2023-11-04 00:20, USDJPY, 149.42, 149.42, 149.398, 149.406
2023-11-04 00:21, USDJPY, 149.413, 149.434, 149.413, 149.432
2023-11-04 00:22, USDJPY, 149.432, 149.435, 149.405, 149.42
2023-11-04 00:23, USDJPY, 149.422, 149.431, 149.41, 149.41
2023-11-04 00:24, USDJPY, 149.41, 149.411, 149.386, 149.394
2023-11-04 00:25, USDJPY, 149.393, 149.414, 149.38, 149.407
2023-11-04 00:26, USDJPY, 149.407, 149.411, 149.392, 149.405
2023-11-04 00:27, USDJPY, 149.405, 149.409, 149.391, 149.392
2023-11-04 00:28, USDJPY, 149.392, 149.392, 149.38, 149.385
2023-11-04 00:29, USDJPY, 149.385, 149.391, 149.38, 149.389
2023-11-04 00:30, USDJPY, 149.387, 149.39, 149.341, 149.347
2023-11-04 00:31, USDJPY, 149.347, 149.37, 149.329, 149.359
2023-11-04 00:32, USDJPY, 149.359, 149.37, 149.358, 149.36
2023-11-04 00:33, USDJPY, 149.36, 149.36, 149.346, 149.352
2023-11-04 00:34, USDJPY, 149.352, 149.359, 149.338, 149.338
2023-11-04 00:35, USDJPY, 149.337, 149.337, 149.312, 149.314
2023-11-04 00:36, USDJPY, 149.314, 149.327, 149.31, 149.327
2023-11-04 00:37, USDJPY, 149.327, 149.335, 149.322, 149.335
2023-11-04 00:38, USDJPY, 149.337, 149.344, 149.331, 149.336
2023-11-04 00:39, USDJPY, 149.336, 149.362, 149.336, 149.359
2023-11-04 00:40, USDJPY, 149.36, 149.385, 149.356, 149.385
2023-11-04 00:41, USDJPY, 149.385, 149.39, 149.368, 149.38
2023-11-04 00:42, USDJPY, 149.381, 149.412, 149.381, 149.412
2023-11-04 00:43, USDJPY, 149.412, 149.429, 149.407, 149.414
2023-11-04 00:44, USDJPY, 149.414, 149.414, 149.402, 149.411
2023-11-04 00:45, USDJPY, 149.411, 149.42, 149.399, 149.407
2023-11-04 00:46, USDJPY, 149.403, 149.411, 149.398, 149.398
2023-11-04 00:47, USDJPY, 149.398, 149.399, 149.376, 149.396
2023-11-04 00:48, USDJPY, 149.399, 149.423, 149.397, 149.419
2023-11-04 00:49, USDJPY, 149.419, 149.423, 149.385, 149.393
2023-11-04 00:50, USDJPY, 149.394, 149.394, 149.358, 149.366
2023-11-04 00:51, USDJPY, 149.368, 149.368, 149.344, 149.345
2023-11-04 00:52, USDJPY, 149.343, 149.344, 149.319, 149.323
2023-11-04 00:53, USDJPY, 149.323, 149.325, 149.315, 149.324
2023-11-04 00:54, USDJPY, 149.324, 149.351, 149.324, 149.335
2023-11-04 00:55, USDJPY, 149.335, 149.345, 149.331, 149.34
2023-11-04 00:56, USDJPY, 149.341, 149.345, 149.323, 149.324
2023-11-04 00:57, USDJPY, 149.322, 149.34, 149.306, 149.31
2023-11-04 00:58, USDJPY, 149.311, 149.336, 149.306, 149.333
2023-11-04 00:59, USDJPY, 149.333, 149.357, 149.333, 149.357
2023-11-04 01:00, USDJPY, 149.356, 149.358, 149.337, 149.348
2023-11-04 01:01, USDJPY, 149.346, 149.356, 149.336, 149.35
2023-11-04 01:02, USDJPY, 149.35, 149.366, 149.344, 149.358
2023-11-04 01:03, USDJPY, 149.356, 149.361, 149.343, 149.361
2023-11-04 01:04, USDJPY, 149.366, 149.371, 149.355, 149.371
2023-11-04 01:05, USDJPY, 149.37, 149.38, 149.366, 149.379
2023-11-04 01:06, USDJPY, 149.376, 149.376, 149.356, 149.358
2023-11-04 01:07, USDJPY, 149.358, 149.411, 149.357, 149.41
2023-11-04 01:08, USDJPY, 149.41, 149.444, 149.405, 149.429
2023-11-04 01:09, USDJPY, 149.429, 149.436, 149.403, 149.404
2023-11-04 01:10, USDJPY, 149.41, 149.433, 149.405, 149.413
2023-11-04 01:11, USDJPY, 149.413, 149.414, 149.369, 149.369
2023-11-04 01:12, USDJPY, 149.369, 149.39, 149.359, 149.376
2023-11-04 01:13, USDJPY, 149.376, 149.39, 149.356, 149.362
2023-11-04 01:14, USDJPY, 149.36, 149.363, 149.349, 149.358
2023-11-04 01:15, USDJPY, 149.357, 149.368, 149.354, 149.358
2023-11-04 01:16, USDJPY, 149.358, 149.372, 149.356, 149.362
2023-11-04 01:17, USDJPY, 149.361, 149.368, 149.335, 149.345
2023-11-04 01:18, USDJPY, 149.345, 149.353, 149.332, 149.353
2023-11-04 01:19, USDJPY, 149.353, 149.362, 149.32, 149.325
2023-11-04 01:20, USDJPY, 149.325, 149.325, 149.291, 149.291
2023-11-04 01:21, USDJPY, 149.291, 149.321, 149.29, 149.321
2023-11-04 01:22, USDJPY, 149.32, 149.32, 149.295, 149.302
2023-11-04 01:23, USDJPY, 149.302, 149.309, 149.29, 149.291
2023-11-04 01:24, USDJPY, 149.288, 149.29, 149.253, 149.253
2023-11-04 01:25, USDJPY, 149.253, 149.287, 149.252, 149.285
2023-11-04 01:26, USDJPY, 149.286, 149.308, 149.281, 149.298
2023-11-04 01:27, USDJPY, 149.298, 149.307, 149.297, 149.3
2023-11-04 01:28, USDJPY, 149.3, 149.3, 149.285, 149.291
2023-11-04 01:29, USDJPY, 149.291, 149.304, 149.289, 149.303
2023-11-04 01:30, USDJPY, 149.301, 149.322, 149.289, 149.311
2023-11-04 01:31, USDJPY, 149.311, 149.313, 149.289, 149.289
2023-11-04 01:32, USDJPY, 149.289, 149.301, 149.287, 149.299
2023-11-04 01:33, USDJPY, 149.299, 149.312, 149.295, 149.296
2023-11-04 01:34, USDJPY, 149.296, 149.298, 149.276, 149.28
2023-11-04 01:35, USDJPY, 149.28, 149.288, 149.273, 149.283
2023-11-04 01:36, USDJPY, 149.28, 149.282, 149.266, 149.277
2023-11-04 01:37, USDJPY, 149.277, 149.288, 149.271, 149.282
2023-11-04 01:38, USDJPY, 149.282, 149.3, 149.279, 149.299
2023-11-04 01:39, USDJPY, 149.299, 149.299, 149.28, 149.28
2023-11-04 01:40, USDJPY, 149.279, 149.291, 149.279, 149.285
2023-11-04 01:41, USDJPY, 149.285, 149.29, 149.279, 149.28
2023-11-04 01:42, USDJPY, 149.28, 149.28, 149.265, 149.271
2023-11-04 01:43, USDJPY, 149.271, 149.275, 149.256, 149.262
2023-11-04 01:44, USDJPY, 149.262, 149.265, 149.243, 149.246
2023-11-04 01:45, USDJPY, 149.246, 149.275, 149.246, 149.264
2023-11-04 01:46, USDJPY, 149.264, 149.265, 149.252, 149.254
2023-11-04 01:47, USDJPY, 149.254, 149.255, 149.242, 149.254
2023-11-04 01:48, USDJPY, 149.254, 149.255, 149.244, 149.245
2023-11-04 01:49, USDJPY, 149.246, 149.246, 149.245, 149.245
2023-11-04 01:50, USDJPY, 149.245, 149.287, 149.243, 149.284
2023-11-04 01:51, USDJPY, 149.284, 149.301, 149.28, 149.299
2023-11-04 01:52, USDJPY, 149.298, 149.299, 149.277, 149.292
2023-11-04 01:53, USDJPY, 149.292, 149.337, 149.292, 149.326
2023-11-04 01:54, USDJPY, 149.326, 149.335, 149.323, 149.324
2023-11-04 01:55, USDJPY, 149.325, 149.349, 149.321, 149.346
2023-11-04 01:56, USDJPY, 149.346, 149.356, 149.34, 149.341
2023-11-04 01:57, USDJPY, 149.341, 149.346, 149.316, 149.319
2023-11-04 01:58, USDJPY, 149.318, 149.328, 149.318, 149.326
2023-11-04 01:59, USDJPY, 149.326, 149.326, 149.312, 149.322
2023-11-04 02:00, USDJPY, 149.323, 149.328, 149.293, 149.293
2023-11-04 02:01, USDJPY, 149.293, 149.301, 149.271, 149.277
2023-11-04 02:02, USDJPY, 149.278, 149.283, 149.271, 149.282
2023-11-04 02:03, USDJPY, 149.282, 149.298, 149.282, 149.291
2023-11-04 02:04, USDJPY, 149.291, 149.291, 149.239, 149.247
2023-11-04 02:05, USDJPY, 149.249, 149.256, 149.237, 149.247
2023-11-04 02:06, USDJPY, 149.247, 149.262, 149.246, 149.26
