datetime,symbol,open,high,low,close
2023-11-07 00:00, USDJPY, 149.729, 149.732, 149.722, 149.729
2023-11-07 00:01, USDJPY, 149.729, 149.732, 149.723, 149.73
2023-11-07 00:02, USDJPY, 149.73, 149.744, 149.73, 149.733
2023-11-07 00:03, USDJPY, 149.733, 149.775, 149.73, 149.775
2023-11-07 00:04, USDJPY, 149.773, 149.782, 149.767, 149.767
2023-11-07 00:05, USDJPY, 149.767, 149.779, 149.767, 149.776
2023-11-07 00:06, USDJPY, 149.776, 149.776, 149.755, 149.757
2023-11-07 00:07, USDJPY, 149.759, 149.759, 149.744, 149.744
2023-11-07 00:08, USDJPY, 149.744, 149.755, 149.731, 149.733
2023-11-07 00:09, USDJPY, 149.733, 149.759, 149.731, 149.758
2023-11-07 00:10, USDJPY, 149.759, 149.769, 149.756, 149.766
2023-11-07 00:11, USDJPY, 149.765, 149.766, 149.747, 149.759
2023-11-07 00:12, USDJPY, 149.759, 149.788, 149.757, 149.783
2023-11-07 00:13, USDJPY, 149.783, 149.788, 149.778, 149.787
2023-11-07 00:14, USDJPY, 149.786, 149.789, 149.776, 149.789
2023-11-07 00:15, USDJPY, 149.789, 149.79, 149.781, 149.788
2023-11-07 00:16, USDJPY, 149.788, 149.789, 149.777, 149.777
2023-11-07 00:17, USDJPY, 149.777, 149.79, 149.764, 149.765
2023-11-07 00:18, USDJPY, 149.766, 149.778, 149.764, 149.765
2023-11-07 00:19, USDJPY, 149.765, 149.765, 149.737, 149.741
2023-11-07 00:20, USDJPY, 149.741, 149.755, 149.731, 149.755
2023-11-07 00:21, USDJPY, 149.755, 149.764, 149.75, 149.756
2023-11-07 00:22, USDJPY, 149.756, 149.757, 149.747, 149.753
2023-11-07 00:23, USDJPY, 149.754, 149.759, 149.749, 149.757
2023-11-07 00:24, USDJPY, 149.757, 149.759, 149.753, 149.755
2023-11-07 00:25, USDJPY, 149.755, 149.757, 149.747, 149.754
2023-11-07 00:26, USDJPY, 149.754, 149.755, 149.752, 149.753
2023-11-07 00:27, USDJPY, 149.753, 149.754, 149.747, 149.747
2023-11-07 00:28, USDJPY, 149.747, 149.759, 149.737, 149.745
2023-11-07 00:29, USDJPY, 149.745, 149.754, 149.745, 149.749
2023-11-07 00:30, USDJPY, 149.749, 149.75, 149.739, 149.748
2023-11-07 00:31, USDJPY, 149.748, 149.759, 149.746, 149.747
2023-11-07 00:32, USDJPY, 149.747, 149.749, 149.743, 149.745
2023-11-07 00:33, USDJPY, 149.745, 149.757, 149.745, 149.753
2023-11-07 00:34, USDJPY, 149.752, 149.757, 149.752, 149.757
2023-11-07 00:35, USDJPY, 149.757, 149.769, 149.755, 149.756
2023-11-07 00:36, USDJPY, 149.756, 149.76, 149.753, 149.754
2023-11-07 00:37, USDJPY, 149.753, 149.756, 149.747, 149.754
2023-11-07 00:38, USDJPY, 149.754, 149.757, 149.747, 149.747
2023-11-07 00:39, USDJPY, 149.747, 149.747, 149.713, 149.725
2023-11-07 00:40, USDJPY, 149.724, 149.737, 149.723, 149.737
2023-11-07 00:41, USDJPY, 149.736, 149.74, 149.704, 149.704
2023-11-07 00:42, USDJPY, 149.704, 149.726, 149.703, 149.714
2023-11-07 00:43, USDJPY, 149.714, 149.738, 149.714, 149.737
2023-11-07 00:44, USDJPY, 149.736, 149.749, 149.736, 149.745
2023-11-07 00:45, USDJPY, 149.746, 149.754, 149.746, 149.746
2023-11-07 00:46, USDJPY, 149.746, 149.759, 149.735, 149.735
2023-11-07 00:47, USDJPY, 149.735, 149.736, 149.723, 149.724
2023-11-07 00:48, USDJPY, 149.724, 149.735, 149.724, 149.735
2023-11-07 00:49, USDJPY, 149.734, 149.766, 149.733, 149.758
2023-11-07 00:50, USDJPY, 149.758, 149.76, 149.747, 149.747
2023-11-07 00:51, USDJPY, 149.747, 149.75, 149.736, 149.737
2023-11-07 00:52, USDJPY, 149.737, 149.738, 149.713, 149.738
2023-11-07 00:53, USDJPY, 149.738, 149.738, 149.714, 149.721
2023-11-07 00:54, USDJPY, 149.723, 149.734, 149.722, 149.723
2023-11-07 00:55, USDJPY, 149.724, 149.729, 149.723, 149.727
2023-11-07 00:56, USDJPY, 149.727, 149.746, 149.727, 149.745
2023-11-07 00:57, USDJPY, 149.745, 149.749, 149.728, 149.728
2023-11-07 00:58, USDJPY, 149.73, 149.73, 149.72, 149.723
2023-11-07 00:59, USDJPY, 149.723, 149.723, 149.715, 149.72
2023-11-07 01:00, USDJPY, 149.72, 149.725, 149.712, 149.72
2023-11-07 01:01, USDJPY, 149.721, 149.721, 149.706, 149.71
2023-11-07 01:02, USDJPY, 149.71, 149.711, 149.688, 149.688
2023-11-07 01:03, USDJPY, 149.688, 149.7, 149.688, 149.691
2023-11-07 01:04, USDJPY, 149.692, 149.703, 149.692, 149.692
2023-11-07 01:05, USDJPY, 149.692, 149.692, 149.682, 149.682
2023-11-07 01:06, USDJPY, 149.682, 149.694, 149.669, 149.691
2023-11-07 01:07, USDJPY, 149.69, 149.701, 149.685, 149.699
2023-11-07 01:08, USDJPY, 149.699, 149.716, 149.699, 149.714
2023-11-07 01:09, USDJPY, 149.714, 149.724, 149.712, 149.724
2023-11-07 01:10, USDJPY, 149.722, 149.735, 149.722, 149.734
2023-11-07 01:11, USDJPY, 149.734, 149.744, 149.734, 149.736
2023-11-07 01:12, USDJPY, 149.736, 149.74, 149.736, 149.739
2023-11-07 01:13, USDJPY, 149.739, 149.745, 149.737, 149.745
2023-11-07 01:14, USDJPY, 149.745, 149.749, 149.737, 149.748
2023-11-07 01:15, USDJPY, 149.748, 149.758, 149.745, 149.75
2023-11-07 01:16, USDJPY, 149.75, 149.76, 149.747, 149.748
2023-11-07 01:17, USDJPY, 149.748, 149.759, 149.748, 149.755
2023-11-07 01:18, USDJPY, 149.756, 149.766, 149.751, 149.766
2023-11-07 01:19, USDJPY, 149.766, 149.769, 149.766, 149.768
2023-11-07 01:20, USDJPY, 149.768, 149.78, 149.763, 149.779
2023-11-07 01:21, USDJPY, 149.778, 149.79, 149.778, 149.788
2023-11-07 01:22, USDJPY, 149.788, 149.791, 149.787, 149.788
2023-11-07 01:23, USDJPY, 149.788, 149.809, 149.788, 149.807
2023-11-07 01:24, USDJPY, 149.807, 149.813, 149.806, 149.81
2023-11-07 01:25, USDJPY, 149.81, 149.81, 149.794, 149.795
2023-11-07 01:26, USDJPY, 149.798, 149.809, 149.795, 149.804
2023-11-07 01:27, USDJPY, 149.804, 149.81, 149.802, 149.808
2023-11-07 01:28, USDJPY, 149.808, 149.814, 149.799, 149.814
2023-11-07 01:29, USDJPY, 149.814, 149.821, 149.814, 149.816
2023-11-07 01:30, USDJPY, 149.816, 149.822, 149.81, 149.81
2023-11-07 01:31, USDJPY, 149.809, 149.811, 149.801, 149.801
