datetime,symbol,open,high,low,close
2023-09-12 00:00, USDJPY, 146.394, 146.419, 146.385, 146.41
2023-09-12 00:01, USDJPY, 146.415, 146.433, 146.414, 146.429
2023-09-12 00:02, USDJPY, 146.43, 146.449, 146.417, 146.448
2023-09-12 00:03, USDJPY, 146.452, 146.472, 146.449, 146.464
2023-09-12 00:04, USDJPY, 146.461, 146.482, 146.461, 146.482
2023-09-12 00:05, USDJPY, 146.476, 146.495, 146.457, 146.457
2023-09-12 00:06, USDJPY, 146.456, 146.456, 146.426, 146.429
2023-09-12 00:07, USDJPY, 146.427, 146.441, 146.426, 146.436
2023-09-12 00:08, USDJPY, 146.436, 146.441, 146.428, 146.429
2023-09-12 00:09, USDJPY, 146.429, 146.443, 146.428, 146.439
2023-09-12 00:10, USDJPY, 146.439, 146.48, 146.436, 146.479
2023-09-12 00:11, USDJPY, 146.478, 146.506, 146.469, 146.496
2023-09-12 00:12, USDJPY, 146.496, 146.507, 146.492, 146.502
2023-09-12 00:13, USDJPY, 146.499, 146.504, 146.486, 146.501
2023-09-12 00:14, USDJPY, 146.502, 146.521, 146.502, 146.511
2023-09-12 00:15, USDJPY, 146.511, 146.522, 146.511, 146.513
2023-09-12 00:16, USDJPY, 146.513, 146.523, 146.481, 146.523
2023-09-12 00:17, USDJPY, 146.523, 146.537, 146.503, 146.503
2023-09-12 00:18, USDJPY, 146.503, 146.503, 146.481, 146.496
2023-09-12 00:19, USDJPY, 146.502, 146.508, 146.481, 146.5
2023-09-12 00:20, USDJPY, 146.49, 146.492, 146.447, 146.45
2023-09-12 00:21, USDJPY, 146.449, 146.451, 146.407, 146.426
2023-09-12 00:22, USDJPY, 146.424, 146.454, 146.424, 146.431
2023-09-12 00:23, USDJPY, 146.431, 146.431, 146.411, 146.416
2023-09-12 00:24, USDJPY, 146.414, 146.425, 146.404, 146.424
2023-09-12 00:25, USDJPY, 146.426, 146.434, 146.416, 146.421
2023-09-12 00:26, USDJPY, 146.421, 146.434, 146.421, 146.427
2023-09-12 00:27, USDJPY, 146.427, 146.431, 146.413, 146.416
2023-09-12 00:28, USDJPY, 146.416, 146.43, 146.415, 146.426
2023-09-12 00:29, USDJPY, 146.428, 146.47, 146.427, 146.47
2023-09-12 00:30, USDJPY, 146.471, 146.48, 146.454, 146.457
2023-09-12 00:31, USDJPY, 146.458, 146.459, 146.446, 146.45
2023-09-12 00:32, USDJPY, 146.45, 146.458, 146.45, 146.458
2023-09-12 00:33, USDJPY, 146.457, 146.477, 146.445, 146.446
2023-09-12 00:34, USDJPY, 146.447, 146.447, 146.427, 146.427
2023-09-12 00:35, USDJPY, 146.427, 146.427, 146.385, 146.391
2023-09-12 00:36, USDJPY, 146.39, 146.39, 146.375, 146.385
2023-09-12 00:37, USDJPY, 146.385, 146.386, 146.38, 146.386
2023-09-12 00:38, USDJPY, 146.386, 146.393, 146.382, 146.393
2023-09-12 00:39, USDJPY, 146.393, 146.393, 146.384, 146.387
2023-09-12 00:40, USDJPY, 146.386, 146.399, 146.375, 146.397
2023-09-12 00:41, USDJPY, 146.397, 146.425, 146.386, 146.421
2023-09-12 00:42, USDJPY, 146.421, 146.437, 146.418, 146.437
2023-09-12 00:43, USDJPY, 146.437, 146.453, 146.432, 146.447
2023-09-12 00:44, USDJPY, 146.446, 146.46, 146.443, 146.448
2023-09-12 00:45, USDJPY, 146.449, 146.461, 146.448, 146.459
2023-09-12 00:46, USDJPY, 146.461, 146.474, 146.459, 146.472
2023-09-12 00:47, USDJPY, 146.472, 146.472, 146.457, 146.46
2023-09-12 00:48, USDJPY, 146.46, 146.474, 146.454, 146.455
2023-09-12 00:49, USDJPY, 146.454, 146.459, 146.449, 146.457
2023-09-12 00:50, USDJPY, 146.458, 146.469, 146.441, 146.458
2023-09-12 00:51, USDJPY, 146.456, 146.459, 146.451, 146.458
2023-09-12 00:52, USDJPY, 146.463, 146.469, 146.461, 146.468
2023-09-12 00:53, USDJPY, 146.468, 146.468, 146.447, 146.448
2023-09-12 00:54, USDJPY, 146.448, 146.46, 146.448, 146.458
2023-09-12 00:55, USDJPY, 146.458, 146.459, 146.457, 146.459
2023-09-12 00:56, USDJPY, 146.459, 146.465, 146.449, 146.451
2023-09-12 00:57, USDJPY, 146.447, 146.457, 146.446, 146.457
2023-09-12 00:58, USDJPY, 146.456, 146.466, 146.45, 146.465
2023-09-12 00:59, USDJPY, 146.465, 146.479, 146.45, 146.458
2023-09-12 01:00, USDJPY, 146.457, 146.458, 146.426, 146.426
2023-09-12 01:01, USDJPY, 146.427, 146.451, 146.411, 146.417
2023-09-12 01:02, USDJPY, 146.416, 146.421, 146.389, 146.389
2023-09-12 01:03, USDJPY, 146.39, 146.396, 146.389, 146.393
2023-09-12 01:04, USDJPY, 146.393, 146.406, 146.392, 146.395
2023-09-12 01:05, USDJPY, 146.394, 146.397, 146.381, 146.383
2023-09-12 01:06, USDJPY, 146.383, 146.392, 146.377, 146.391
2023-09-12 01:07, USDJPY, 146.391, 146.399, 146.391, 146.397
2023-09-12 01:08, USDJPY, 146.396, 146.423, 146.396, 146.419
2023-09-12 01:09, USDJPY, 146.418, 146.421, 146.413, 146.414
2023-09-12 01:10, USDJPY, 146.414, 146.414, 146.393, 146.403
2023-09-12 01:11, USDJPY, 146.403, 146.405, 146.369, 146.37
2023-09-12 01:12, USDJPY, 146.37, 146.375, 146.353, 146.354
2023-09-12 01:13, USDJPY, 146.354, 146.365, 146.352, 146.365
2023-09-12 01:14, USDJPY, 146.365, 146.367, 146.351, 146.351
2023-09-12 01:15, USDJPY, 146.351, 146.352, 146.338, 146.345
2023-09-12 01:16, USDJPY, 146.345, 146.352, 146.344, 146.35
2023-09-12 01:17, USDJPY, 146.35, 146.361, 146.349, 146.351
2023-09-12 01:18, USDJPY, 146.351, 146.37, 146.351, 146.363
2023-09-12 01:19, USDJPY, 146.362, 146.364, 146.351, 146.353
2023-09-12 01:20, USDJPY, 146.353, 146.354, 146.333, 146.338
2023-09-12 01:21, USDJPY, 146.33, 146.344, 146.323, 146.34
2023-09-12 01:22, USDJPY, 146.34, 146.352, 146.339, 146.339
